行	列	语境	备注
2693	3	　　牴□＠钕芨蠢贾莨懦恰Ｎ熳樱□贾	GBK串位重污染,需殿本纸本目视整段重构
5463	5	　　牷沽粽□Ｒ页螅□□侍□竺□⒊绻□蛉	GBK串位重污染,需殿本纸本目视整段重构
11985	4	　　犎食□Ｉ□□俊Ｈ□辏□啥几□衽砥	GBK串位重污染,需殿本纸本目视整段重构
17239	4	　　石犎□□ㄏ隆＃┢嚼□□ㄏ隆Ｎ跄□	GBK串位重污染,需殿本纸本目视整段重构
20437	119	蛉锊湏锊湏Ｍ醢彩𫜪耸⒀杂描酥□Γ硷舨魂」ぃ□涠涠鹇珊由狭	GBK串位重污染,需殿本纸本目视整段重构
23801	75	者，设启奠即告谥。牸仍峒于郑□鲇谔剖薄Ｈ缪贞角洹⒙□木≈	GBK串位重污染,需殿本纸本目视整段重构
49316	3	　　张□《别录》一卷	GBK串位重污染,需殿本纸本目视整段重构
52194	3	　　李□《续帝学》一卷	GBK串位重污染,需殿本纸本目视整段重构
53226	3	　　李□《赵鼎行状》三卷	GBK串位重污染,需殿本纸本目视整段重构
53878	3	　　李□《公侯守宰士庶通礼》三十卷	GBK串位重污染,需殿本纸本目视整段重构
55498	3	　　杨□□《临漳志》十卷	GBK串位重污染,需殿本纸本目视整段重构
58504	4	　　周文□《开颜集》二卷	GBK串位重污染,需殿本纸本目视整段重构
61350	6	　　》一卷僧□妻岩注	GBK串位重污染,需殿本纸本目视整段重构
65634	4	　　《韩□奏议》三卷	GBK串位重污染,需殿本纸本目视整段重构
67916	4	　　《僧□光上人诗》一卷	GBK串位重污染,需殿本纸本目视整段重构
96267	464	」上问谦吏，德秀以知袁州赵{□政}夫对，亲擢{□政}夫直	GBK串位重污染,需殿本纸本目视整段重构
