行号	PDF页	上下文	注记
L118	p44	，模王，楹安王，桱唐王，栋郢王，□彝伊王。癸未，燕王棣督傅友德诸将	
L577		是年，癿□加思兰入居河套，与阿罗出合。安南	
L579		总兵官，节制各边军马，同王越御癿□加思兰。	
L584	p152	。庚子，王越袭满都鲁、孛罗忽、癿□加思兰于红盐池，大破之。诸部渐出	
L589		充总兵官，太监刘恒、覃平监军。讨□□加思兰。九月癸丑朔，日有食之。	
L589		总兵官，太监刘恒、覃平监军。讨□□加思兰。九月癸丑朔，日有食之。乙	
L608		乌斯藏、暹罗、日本入贡。满者鲁、□□加思兰各遣使贡马。	
L608		斯藏、暹罗、日本入贡。满者鲁、□□加思兰各遣使贡马。	
L761		秋粮，振淮、徐饥。己亥，废辽王宪□节为庶人。甲辰，免畿内、河南被灾	
L850	p271	阳、平凉新旧辽饷。壬申，总兵官邓□巳、左良玉剿河南贼。五月乙巳，太	
L850	p271	等分监曹文诏、张应昌、左良玉、邓□巳军。壬子，孔有德及其党耿仲明等	
L2157		罗□至后策五千三百三十三万六二一七。	
L2456		赞皇州西南。西南有赞皇山，□水出焉，亦曰沙水。又城北有槐水。	
L2544		原县，元为兴和路治。洪武中俱废。□距北平都司里。	
L2783		栖霞府东南。东有岠□禺山，尝产金，亦名金山。又有百涧	
L2948		□巳府东南。北有睢水，又有旧黄河，	
L2950		。东有马厂集，正统十三年河决，自□巳县经此。	
L3032	p75	入於汝宁府之汝水。西南有沙水，即□水也。又北有澧水，下流归故汝水。	
L3033		有湛水，流入汝。东北有沙水，一名□水，又名泜水，又北有昆水入焉，下	
L3057		鲁山州西南。东有鲁山。西有尧山，□水所出，西南有波水流入焉。又西北	
L3059	p83	年四月析汝州地置。南有汝水，又有□水。	
L3066		北。西北有甘泉山。南有泾水，源自□开头山，流经县界，至高陵县入谓。	
L3535		州。嘉靖十年八月复置，更名。东有□两木山，一名青泥山。北有松林山，	
L3737		鲒琦二巡检司。又有公棠、连山、栅□虚、东宿四巡检司，废。	
L3766	p162	松阳府西。北有竹□客岭。西有松溪，南有竹溪流入焉，	
L3919		。十四年五月改属州。南滨海，中有□冈洲。有□冈洲巡检司，在洲南滨海	
L3919		月改属州。南滨海，中有□冈洲。有□冈洲巡检司，在洲南滨海，后迁洲上	
